sample_name	lab	sex	pop	imputed	sample_string
NA18907	6	2.0	YRI	0	6.M_120217_1
NA18908	7	1.0	YRI	0	7.M_120219_7
NA18909	4	2.0	YRI	0	4.M_120208_8
NA18910	3	1.0	YRI	0	3.M_120202_7
NA18912	7	2.0	YRI	0	7.M_120219_3
NA18916	2	2.0	YRI	0	2.M_111215_6
NA18917	1	1.0	YRI	0	1.M_111124_5
NA18923	2	1.0	YRI	0	2.M_111216_5
NA18933	1	2.0	YRI	0	1.M_111124_2
NA18934	3	1.0	YRI	0	3.M_120223_7
NA19092	1	0	YRI	1	1.M_111124_3
NA19093	7	2.0	YRI	0	7.M_120219_7
NA19095	2	2.0	YRI	0	2.M_120131_2
NA19096	4	1.0	YRI	0	4.M_120208_4
NA19098	5	1.0	YRI	0	5.M_120131_1
NA19099	2	2.0	YRI	0	2.M_111215_7
NA19102	1	2.0	YRI	0	1.M_111124_1
NA19107	2	1.0	YRI	0	2.M_111216_5
NA19108	5	2.0	YRI	0	5.M_120131_7
NA19113	3	1.0	YRI	0	3.M_120202_1
NA19114	2	2.0	YRI	0	2.M_111215_7
NA19116	2	2.0	YRI	0	2.M_111215_7
NA19117	1	1.0	YRI	0	1.M_111124_4
NA19118	7	2.0	YRI	0	7.M_120219_8
NA19119	3	1.0	YRI	0	3.M_120202_4
NA19121	3	1.0	YRI	0	3.M_120202_6
NA19129	6	2.0	YRI	0	6.M_120217_1
NA19130	5	1.0	YRI	0	5.M_120131_7
NA19131	2	2.0	YRI	0	2.M_111215_8
NA19137	1	2.0	YRI	0	1.M_111124_7
NA19138	3	1.0	YRI	0	3.M_120202_8
NA19141	6	0	YRI	1	6.M_120119_2
NA19143	2	0	YRI	1	2.M_111216_8
NA19144	1	0	YRI	1	1.M_120209_1
NA19146	5	1.0	YRI	0	5.M_120131_5
NA19147	2	2.0	YRI	0	2.M_120131_2
NA19149	1	2.0	YRI	0	1.M_111124_2
NA19150	5	1.0	YRI	0	5.M_120131_7
NA19152	4	2.0	YRI	0	4.M_120208_4
NA19153	1	0	YRI	1	1.M_111124_7
NA19159	3	0	YRI	1	3.M_120223_6
NA19160	3	1.0	YRI	0	3.M_120202_3
NA19171	1	1.0	YRI	0	1.M_111124_7
NA19172	6	2.0	YRI	0	6.M_120119_1
NA19175	4	1.0	YRI	0	4.M_120208_8
NA19184	1	0	YRI	1	1.M_111124_1
NA19185	6	2.0	YRI	0	6.M_120119_4
NA19189	5	1.0	YRI	0	5.M_120131_7
NA19190	4	2.0	YRI	0	4.M_120208_2
NA19197	3	2.0	YRI	0	3.M_120202_2
NA19198	2	1.0	YRI	0	2.M_111215_6
NA19200	2	1.0	YRI	0	2.M_111216_1
NA19201	1	0	YRI	1	1.M_111124_3
NA19204	1	2.0	YRI	0	1.M_111124_6
NA19206	2	0	YRI	1	2.M_111215_5
NA19207	4	1.0	YRI	0	4.M_120208_5
NA19209	6	2.0	YRI	0	6.M_120217_1
NA19210	4	0	YRI	1	4.M_120208_1
NA19213	2	1.0	YRI	0	2.M_111215_6
NA19214	6	0	YRI	1	6.M_120119_2
NA19222	2	2.0	YRI	0	2.M_111216_7
NA19223	7	1.0	YRI	0	7.M_120219_6
NA19225	1	2.0	YRI	0	1.M_120209_2
NA19235	1	2.0	YRI	0	1.M_111124_6
NA19236	4	1.0	YRI	0	4.M_120208_1
NA19247	3	2.0	YRI	0	3.M_120223_7
NA19248	5	1.0	YRI	0	5.M_120131_1
NA19256	6	1.0	YRI	0	6.M_120119_6
NA19257	6	2.0	YRI	0	6.M_120119_2
NA20502	3	2.0	TSI	0	3.M_120202_4
NA20503	1	2.0	TSI	0	1.M_111124_5
NA20504	1	2.0	TSI	0	1.M_111124_7
NA20505	1	2.0	TSI	0	1.M_111124_6
NA20506	1	2.0	TSI	0	1.M_120209_2
NA20507	1	2.0	TSI	0	1.M_111124_7
NA20508	1	2.0	TSI	0	1.M_111124_2
NA20509	7	1.0	TSI	0	7.M_120219_7
NA20510	3	1.0	TSI	0	3.M_120202_3
NA20512	6	1.0	TSI	0	6.M_120119_6
NA20513	4	1.0	TSI	0	4.M_120208_1
NA20514	1	0	TSI	1	1.M_111124_4
NA20515	5	1.0	TSI	0	5.M_120131_1
NA20516	5	1.0	TSI	0	5.M_120131_3
NA20517	3	2.0	TSI	0	3.M_120202_8
NA20518	4	1.0	TSI	0	4.M_120208_3
NA20519	1	1.0	TSI	0	1.M_111124_5
NA20520	3	1.0	TSI	0	3.M_120202_2
NA20521	7	1.0	TSI	0	7.M_120219_7
NA20524	2	1.0	TSI	0	2.M_111215_8
NA20525	1	1.0	TSI	0	1.M_111124_1
NA20527	2	1.0	TSI	0	2.M_111215_7
NA20528	2	1.0	TSI	0	2.M_120131_1
NA20529	2	2.0	TSI	0	2.M_111215_6
NA20530	2	2.0	TSI	0	2.M_111215_6
NA20531	4	2.0	TSI	0	4.M_120208_1
NA20532	3	1.0	TSI	0	3.M_120202_7
NA20534	2	1.0	TSI	0	2.M_111215_8
NA20535	3	2.0	TSI	0	3.M_120202_2
NA20536	1	1.0	TSI	0	1.M_111124_1
NA20537	3	1.0	TSI	0	3.M_120202_8
NA20538	3	1.0	TSI	0	3.M_120202_6
NA20539	4	1.0	TSI	0	4.M_120208_5
NA20540	1	2.0	TSI	0	1.M_111124_2
NA20541	1	2.0	TSI	0	1.M_111124_4
NA20542	7	2.0	TSI	0	7.M_120219_2
NA20543	2	1.0	TSI	0	2.M_111215_5
NA20544	4	1.0	TSI	0	4.M_120208_5
NA20581	1	1.0	TSI	0	1.M_111124_4
NA20582	4	2.0	TSI	0	4.M_120208_2
NA20585	3	2.0	TSI	0	3.M_120202_6
NA20586	2	1.0	TSI	0	2.M_111215_7
NA20588	5	1.0	TSI	0	5.M_120131_5
NA20589	1	2.0	TSI	0	1.M_111124_3
NA20752	5	1.0	TSI	0	5.M_120131_7
NA20754	4	1.0	TSI	0	4.M_120208_1
NA20756	2	2.0	TSI	0	2.M_111216_6
