IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG00127	0.008000354514797012	-0.047360765743694126	0.04461250550692402	-0.08944028794317536	0.05055545651824387	0.10205035062623297	0.07013364753898138	-0.045343914410021016	0.036492488090985466	-0.04678582166314315	0.10148296139079253	0.019423994165163983	-0.04811416240811118	0.06450281087019238	0.01696385930950728	0.026423782633761998	0.02898007905230103	0.03747491615612031	0.009649532668610322	0.011622973410783291	0.06822988811001723	-0.02361641538123847	0.004155593530218387	0.03991300900624528	-0.007086931308750266	-0.009374428761489875	-0.043280863231904027	-0.008111997202984007	-0.04512312571936102	0.0020757753862946926
HG00128	-0.06863497217056984	0.025703099560659675	0.015734294019916824	-0.04603423921162459	-0.017672672245933444	-0.005468327108425188	-0.014411237167306542	-0.005792675320985853	0.09013526560097368	-0.02882666385827209	0.053390447480458236	0.0006199669682639475	0.016118130068513373	-0.0862636231554737	0.06347338148607362	0.06561277576723978	-0.059194119313158704	0.03890062458412224	0.11811382590430997	0.051393854776514196	-0.03013333689180922	-0.04981583947747331	0.09933557687165374	-0.011564579871582964	0.016496115668924616	-0.07448758516530779	-0.021557043220451128	-0.07736323188868133	0.05787957995606699	0.018714789311171376
HG00129	0.04189136509160407	0.03092784491097812	-0.03499337897832901	-0.04231254065949465	0.04078991182222461	0.0002545220796298651	-0.07428769376636526	-0.00033613996874404484	-0.018981810338504504	0.10554631954848966	0.08952822182352643	0.014432842726280414	0.03465586217050473	-0.008948319173240144	-0.007637650466917565	-0.009591684969364331	-0.04494171227296165	-0.029741153054583278	-0.04220234430421177	0.07197345468729473	-0.03277178997859363	-0.06418965708356232	0.0385759632841091	0.03618238587388306	0.009039348548774334	-0.023534753055971143	0.054182081856459535	-0.031945187696760864	-0.00010321654060541086	-0.08695265938621088
HG00130	0.03492809569476095	0.0952729733496747	0.04737944889506352	0.026291203301966	-0.006900891312921862	0.017688239986911436	-0.05924066586296808	-0.011666588550259153	0.002180427207042996	-0.050006879837525005	0.048334772685703416	-0.02353372407712901	-0.0024973019055256045	-0.03619459554187489	0.041619379229689585	0.0589671315903078	-0.015773559711832894	-0.04291822698885879	0.07452351259828724	-0.006902845097352006	0.025581303242138698	0.03514421998950579	-0.025555736198153566	0.04044204961120808	0.021783939448657183	0.0033473696567195566	-0.0360045216460423	0.035308062792931194	0.03367167712058389	-0.0040326252044033395
HG00131	0.08063762976427226	0.03138212218562921	-0.08042992957954868	0.022032120374989073	0.05478714828373993	0.06495576310859791	0.023182809496746816	-0.13210581525280807	0.057178357425502604	0.03139821848879464	0.10317402871451234	-0.0330270532529098	-0.03802163889154079	-0.06582376173241061	-0.0521530476213444	0.024527804445538346	-0.011318544788794427	-0.026886653390621195	0.06697205114155642	0.03052308939456833	0.013983607882479876	0.0001742154035604404	0.008129119195923275	0.03169556185675093	-0.013354957512563728	-0.05214950202734819	-0.049931410345817745	-0.005810024772026875	-0.009585340248080845	-0.034989308702729205
HG00133	-0.03401731369893688	0.016401534771482627	-0.04781698196286485	0.043815927464353956	-0.0165284076640942	0.03312592171082133	0.02318239860634769	-0.10547869997155576	0.0028488671534618094	0.00018642283617391908	0.07478867021113304	0.02362382151803591	-0.03582778833468689	-0.010863099008756767	-0.0653312367770425	-0.0337046454507887	0.04503107268758461	-0.05859145672916762	-0.015294379236060062	0.005026340699828278	0.02535504942692468	-0.005912184901631701	0.025374899178730495	0.03727874399021516	-0.0024072488890478014	-0.005756664656056953	-0.004416671970941002	0.059122282029493184	0.0061063393510023545	-0.08172601267487052
HG00134	-0.049814134764659	-0.057706590857044084	-0.033240939906739625	-0.03920991682760332	0.027597175032089725	0.055014501984154	0.031345737551765146	-0.11030589324603729	-0.06493474332914899	0.03143342130088635	0.047129738421170665	0.012059073402933725	0.026753193769286424	-0.062475008041769545	-0.0029175969395181978	0.0057450416365224435	-0.010236444229617933	-0.019846804384446252	-0.00983054261732731	-0.04182359042757757	0.026516456494893828	-0.015596643612397543	4.65416369599314e-05	0.0284390082223513	-0.05781378809111112	-0.007765397884797869	0.005016722351650857	0.06109775118623518	-0.07718422569471561	-0.013299808573835076
HG00135	0.05365153927163635	0.06711399390977504	0.014008162147786302	0.016226627554031092	0.02378930179663597	0.10288958525628228	0.06619494418854294	-0.06487256919915732	0.08682374639670314	-0.03495549773247149	0.03237448405774296	0.047748775460694504	0.016995706765564784	-0.008669576225480086	-0.009893239276318534	-0.03583925003754478	-0.0004982043965851676	-0.019013266560053966	-0.0072914858136422225	0.06310878316480065	0.00720850217242607	0.01674011118364852	-0.013048879375455475	0.03649454131430809	-0.05724845283770282	-0.008180834392275155	-0.06254647849668557	-0.025872725518321406	-0.022389632394985003	-0.08103390329661032
HG00136	0.014833555246090098	0.034622987481736596	0.037989806212413074	-0.037248554635794115	0.024836640291129395	0.028623990498230147	-0.050835598050194546	0.043239297713283185	-0.07316614315018624	0.06170238336486	0.11409630873050385	-0.01758803157825616	0.07473139971132164	-0.010602090203408082	0.01158443551630977	-0.04716631388511734	-0.011829425575915813	-0.01534199913347721	0.03890134832344606	0.07089171564892857	0.03597030074554337	0.015247876208721436	-0.010547283446637967	0.04472221830244463	-0.027163216566763248	-0.04078110013886328	0.02237362035337479	0.009540169852925773	0.0028625215542659177	-0.05591322655979919
HG00137	-0.10305284491823145	0.03832870626582996	-0.10114907240922653	-0.018739045796950602	0.003240619311189963	0.058051985832226524	0.016200420361767397	-0.08454965915932194	0.03399258344069658	0.052216697350069584	0.03377950615988972	-0.016413875016460373	0.05184615701717341	-0.08491028483878706	-0.03892441363520328	-0.007107244095358302	-0.025125492196110627	-0.03888892282041884	0.0492479870267304	0.02203233477647773	0.03008948057816009	-0.0715855353865627	0.05680546223775774	0.0439933205985665	-0.07186569388064495	0.029238093262212543	-0.06085658565076552	0.0422972112539421	-0.04372267745431352	-0.011482220779112852
