IID	geno_coef_0	geno_coef_1
NA20799	0.029688191970298382	0.06512749827189504
NA20800	0.02889174054892589	0.060443547384012905
NA20801	0.02972101225893535	0.05057035218866985
NA20802	0.028714220903324372	0.06272628085961254
NA20803	0.02865010559906765	0.0576379330610215
NA20804	0.028690997621597998	0.06254463990558944
NA20805	0.029608209568168384	0.06192432488916738
NA20806	0.02966151517468657	0.062454643196785065
NA20807	0.02980356093485203	0.0538344139989727
NA20808	0.030031085976917622	0.05777230206647779
NA20809	0.029130263698093645	0.058726594117269326
NA20810	0.02905801542222285	0.06343559111374594
NA20811	0.0282582529377659	0.065535354672758
NA20812	0.029840362472458783	0.058525906090283866
NA20813	0.02966483272813865	0.05748828217251488
NA20814	0.028901410824926713	0.0583905974186647
NA20815	0.029466804849386782	0.05532047863697415
NA20816	0.02930994444913557	0.059778501066029485
NA20819	0.02899826892591108	0.04346108122797821
NA20826	0.029258651180642505	0.06176570312994462
NA20828	0.02909059435481237	0.06971410204995304
